event_id,session_id,customer_id,event_timestamp,event_type,page_type,product_id,device_type,traffic_source
EVT-000000001,SESS-00000001,CUST-000004,2025-06-12T12:58:00,page_view,home,,Tablet,Paid Search
EVT-000000002,SESS-00000001,CUST-000004,2025-06-12T12:58:33,product_view,product_detail,PROD-00007,Tablet,Paid Search
EVT-000000003,SESS-00000001,CUST-000004,2025-06-12T12:59:53,add_to_cart,cart,PROD-00007,Tablet,Paid Search
EVT-000000004,SESS-00000002,CUST-000004,2025-02-27T11:36:00,page_view,home,,Mobile,Paid Search
EVT-000000005,SESS-00000002,CUST-000004,2025-02-27T11:36:33,product_view,product_detail,PROD-00007,Mobile,Paid Search
EVT-000000006,SESS-00000002,CUST-000004,2025-02-27T11:39:19,add_to_cart,cart,PROD-00007,Mobile,Paid Search
EVT-000000007,SESS-00000002,CUST-000004,2025-02-27T11:40:49,begin_checkout,checkout,,Mobile,Paid Search
EVT-000000008,SESS-00000002,CUST-000004,2025-02-27T11:41:19,purchase,confirmation,PROD-00007,Mobile,Paid Search
EVT-000000009,SESS-00000003,,2025-04-12T05:16:00,page_view,home,,Mobile,Email
EVT-000000010,SESS-00000003,,2025-04-12T05:17:17,product_view,product_detail,PROD-00010,Mobile,Email
EVT-000000011,SESS-00000004,CUST-000002,2025-12-12T11:43:00,page_view,home,,Desktop,Organic Search
EVT-000000012,SESS-00000004,CUST-000002,2025-12-12T11:44:49,product_view,product_detail,PROD-00005,Desktop,Organic Search
EVT-000000013,SESS-00000005,CUST-000006,2025-03-24T02:46:00,page_view,home,,Mobile,Email
EVT-000000014,SESS-00000005,CUST-000006,2025-03-24T02:47:42,product_view,product_detail,PROD-00002,Mobile,Email
EVT-000000015,SESS-00000005,CUST-000006,2025-03-24T02:49:42,add_to_cart,cart,PROD-00002,Mobile,Email
EVT-000000016,SESS-00000006,,2025-05-05T17:51:00,page_view,home,,Mobile,Email
EVT-000000017,SESS-00000006,,2025-05-05T17:52:43,product_view,product_detail,PROD-00007,Mobile,Email
EVT-000000018,SESS-00000006,,2025-05-05T17:54:22,add_to_cart,cart,PROD-00007,Mobile,Email
EVT-000000019,SESS-00000006,,2025-05-05T17:55:32,begin_checkout,checkout,,Mobile,Email
EVT-000000020,SESS-00000007,CUST-000007,2025-11-19T15:37:00,page_view,home,,Mobile,Social Media
EVT-000000021,SESS-00000007,CUST-000007,2025-11-19T15:37:54,product_view,product_detail,PROD-00006,Mobile,Social Media
EVT-000000022,SESS-00000007,CUST-000007,2025-11-19T15:40:20,add_to_cart,cart,PROD-00006,Mobile,Social Media
EVT-000000023,SESS-00000007,CUST-000007,2025-11-19T15:41:10,begin_checkout,checkout,,Mobile,Social Media
EVT-000000024,SESS-00000007,CUST-000007,2025-11-19T15:42:12,purchase,confirmation,PROD-00006,Mobile,Social Media
EVT-000000025,SESS-00000008,CUST-000011,2025-02-12T04:07:00,page_view,home,,Mobile,Organic Search
EVT-000000026,SESS-00000009,CUST-000004,2025-03-04T23:16:00,page_view,home,,Mobile,Organic Search
EVT-000000027,SESS-00000009,CUST-000004,2025-03-04T23:17:23,product_view,product_detail,PROD-00005,Mobile,Organic Search
EVT-000000028,SESS-00000010,CUST-000005,2025-03-29T03:35:00,page_view,home,,Desktop,Paid Search
EVT-000000029,SESS-00000010,CUST-000005,2025-03-29T03:36:51,product_view,product_detail,PROD-00004,Desktop,Paid Search
