inventory_id,product_id,warehouse_id,stock_quantity,reorder_level,last_updated
INV-0000001,PROD-00001,WH-WEST,188,56,2025-12-31T00:00:00
INV-0000002,PROD-00001,WH-EAST,494,10,2025-12-31T00:00:00
INV-0000003,PROD-00001,WH-CENTRAL,359,70,2025-12-31T00:00:00
INV-0000004,PROD-00002,WH-WEST,135,70,2025-12-31T00:00:00
INV-0000005,PROD-00003,WH-WEST,294,12,2025-12-31T00:00:00
INV-0000006,PROD-00003,WH-EAST,343,48,2025-12-31T00:00:00
INV-0000007,PROD-00004,WH-EAST,216,30,2025-12-31T00:00:00
INV-0000008,PROD-00004,WH-WEST,485,42,2025-12-31T00:00:00
INV-0000009,PROD-00005,WH-EAST,460,62,2025-12-31T00:00:00
INV-0000010,PROD-00005,WH-WEST,391,48,2025-12-31T00:00:00
INV-0000011,PROD-00006,WH-EAST,142,65,2025-12-31T00:00:00
INV-0000012,PROD-00006,WH-CENTRAL,419,13,2025-12-31T00:00:00
INV-0000013,PROD-00006,WH-WEST,53,57,2025-12-31T00:00:00
INV-0000014,PROD-00007,WH-CENTRAL,312,16,2025-12-31T00:00:00
INV-0000015,PROD-00007,WH-EAST,341,73,2025-12-31T00:00:00
INV-0000016,PROD-00008,WH-EAST,120,42,2025-12-31T00:00:00
INV-0000017,PROD-00009,WH-CENTRAL,456,30,2025-12-31T00:00:00
INV-0000018,PROD-00009,WH-WEST,328,74,2025-12-31T00:00:00
INV-0000019,PROD-00009,WH-EAST,18,10,2025-12-31T00:00:00
INV-0000020,PROD-00010,WH-EAST,410,53,2025-12-31T00:00:00
