order_item_id,order_id,product_id,quantity,unit_price,discount_amount,line_total
ITEM-00000001,ORD-0000001,PROD-00003,1,118.92,0.0,118.92
ITEM-00000002,ORD-0000002,PROD-00004,1,105.23,0.0,105.23
ITEM-00000003,ORD-0000003,PROD-00007,1,219.73,32.96,186.77
ITEM-00000004,ORD-0000003,PROD-00005,1,38.41,0.0,38.41
ITEM-00000005,ORD-0000003,PROD-00008,1,146.62,0.0,146.62
ITEM-00000006,ORD-0000003,PROD-00004,1,105.23,0.0,105.23
ITEM-00000007,ORD-0000004,PROD-00010,1,156.14,0.0,156.14
ITEM-00000008,ORD-0000004,PROD-00004,1,105.23,10.52,94.71
ITEM-00000009,ORD-0000004,PROD-00003,2,118.92,0.0,237.84
ITEM-00000010,ORD-0000005,PROD-00003,1,118.92,11.89,107.03
ITEM-00000011,ORD-0000006,PROD-00006,1,160.44,0.0,160.44
ITEM-00000012,ORD-0000006,PROD-00004,1,105.23,21.05,84.18
ITEM-00000013,ORD-0000006,PROD-00005,2,38.41,7.68,69.14
ITEM-00000014,ORD-0000006,PROD-00010,2,156.14,46.84,265.44
ITEM-00000015,ORD-0000007,PROD-00004,2,105.23,0.0,210.46
ITEM-00000016,ORD-0000007,PROD-00005,3,38.41,0.0,115.23
ITEM-00000017,ORD-0000007,PROD-00007,1,219.73,21.97,197.76
ITEM-00000018,ORD-0000008,PROD-00010,1,156.14,15.61,140.53
ITEM-00000019,ORD-0000008,PROD-00006,3,160.44,0.0,481.32
ITEM-00000020,ORD-0000009,PROD-00004,1,105.23,0.0,105.23
ITEM-00000021,ORD-0000010,PROD-00004,2,105.23,21.05,189.41
ITEM-00000022,ORD-0000010,PROD-00003,1,118.92,0.0,118.92
ITEM-00000023,ORD-0000011,PROD-00003,1,118.92,23.78,95.14
ITEM-00000024,ORD-0000012,PROD-00002,1,24.19,0.0,24.19
ITEM-00000025,ORD-0000012,PROD-00007,3,219.73,32.96,626.23
ITEM-00000026,ORD-0000013,PROD-00007,1,219.73,0.0,219.73
ITEM-00000027,ORD-0000014,PROD-00005,1,38.41,5.76,32.65
ITEM-00000028,ORD-0000015,PROD-00003,2,118.92,0.0,237.84
ITEM-00000029,ORD-0000016,PROD-00008,1,146.62,7.33,139.29
ITEM-00000030,ORD-0000016,PROD-00010,1,156.14,15.61,140.53
ITEM-00000031,ORD-0000017,PROD-00003,1,118.92,0.0,118.92
ITEM-00000032,ORD-0000017,PROD-00010,1,156.14,0.0,156.14
ITEM-00000033,ORD-0000017,PROD-00004,1,105.23,5.26,99.97
ITEM-00000034,ORD-0000017,PROD-00008,1,146.62,0.0,146.62
ITEM-00000035,ORD-0000018,PROD-00006,1,160.44,8.02,152.42
ITEM-00000036,ORD-0000018,PROD-00002,1,24.19,0.0,24.19
ITEM-00000037,ORD-0000018,PROD-00005,1,38.41,0.0,38.41
ITEM-00000038,ORD-0000019,PROD-00006,1,160.44,16.04,144.4
ITEM-00000039,ORD-0000020,PROD-00006,1,160.44,0.0,160.44
ITEM-00000040,ORD-0000020,PROD-00007,1,219.73,21.97,197.76
ITEM-00000041,ORD-0000020,PROD-00008,1,146.62,0.0,146.62
