payment_id,order_id,payment_date,payment_method,payment_status,amount
PAY-0000001,ORD-0000001,2024-08-11,Credit Card,Successful,126.06
PAY-0000002,ORD-0000002,2022-06-02,Credit Card,Successful,113.65
PAY-0000003,ORD-0000003,2025-05-20,Credit Card,Successful,505.65
PAY-0000004,ORD-0000004,2023-04-04,Credit Card,Successful,488.69
PAY-0000005,ORD-0000005,2025-11-15,Digital Wallet,Successful,113.45
PAY-0000006,ORD-0000006,2025-11-12,Debit Card,Successful,625.54
PAY-0000007,ORD-0000007,2025-06-16,Digital Wallet,Successful,523.45
PAY-0000008,ORD-0000008,2023-12-30,PayPal,Successful,621.85
PAY-0000009,ORD-0000009,2025-05-25,Credit Card,Successful,105.23
PAY-0000010,ORD-0000010,2024-08-13,Credit Card,Successful,333.0
PAY-0000011,ORD-0000011,2025-09-03,Credit Card,Successful,108.13
PAY-0000012,ORD-0000012,2025-12-30,Credit Card,Successful,650.42
PAY-0000013,ORD-0000013,2025-11-20,Digital Wallet,Successful,235.11
PAY-0000014,ORD-0000014,2025-07-09,Digital Wallet,Successful,44.42
PAY-0000015,ORD-0000015,2024-05-09,PayPal,Successful,254.49
PAY-0000016,ORD-0000016,2022-07-25,Digital Wallet,Successful,279.82
PAY-0000017,ORD-0000017,2024-01-26,Credit Card,Successful,521.65
PAY-0000018,ORD-0000018,2025-12-10,Credit Card,Successful,225.77
PAY-0000019,ORD-0000019,2023-11-15,Debit Card,Successful,155.95
PAY-0000020,ORD-0000020,2025-07-24,PayPal,Refunded,540.16
